name,original_names,services,location_count,brand,state,city,address,postcode,lat,lon,phone,website,opening_hours,type,id
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,11210 Potranco Road,78253,29.43380983928571,-98.71362949642857,+1-210-679-7184,https://www.walmart.com/store/3888-san-antonio-tx,24/7,way,164474316
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,8923 West Military Drive,78245,29.442826199999995,-98.6424931,+1-210-675-5092,https://www.walmart.com/store/2239-san-antonio-tx,24/7,way,257536842
Walmart,Walmart,General Store,1,Walmart,TX,Hallettsville,1506 North Texana Street,77964,29.458483933333337,-96.93788116666666,+1 361-798-4377,https://www.walmart.com/store/1067-hallettsville-tx,24/7,way,566156605
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,918 Bandera Road,78228,29.45857739333333,-98.55337888,+1 210-536-0576,https://www.walmart.com/store/3058-san-antonio-tx,Mo-Su 06:00-24:00,way,370379202
Walmart Neighborhood Market,Walmart Neighborhood Market,Neighborhood Market,1,Walmart,TX,San Antonio,9526 Military Drive West,78251,29.45972093333333,-98.67108842222224,+1 210-536-2088,https://www.walmart.com/store/5226-san-antonio-tx,Mo-Su 06:00-23:00,way,359929898
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,4096 North Foster Road,78244,29.46520774516129,-98.3568836548387,+1 210-507-4958,https://www.walmart.com/store/3112-san-antonio-tx,Mo-Su 06:00-24:00,way,318439243
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,9427 Culebra Road,78251,29.487421862962965,-98.66795144444444,+1 210-526-6000,https://www.walmart.com/store/4131-san-antonio-tx,24/7,way,359929906
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,1603 Vance Jackson Road,78213,29.48824681,-98.5376419,+1 210-738-8218,https://www.walmart.com/store/5145-san-antonio-tx,24/7,way,158976827
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,1430 Austin Highway,78209,29.48990546086956,-98.43736820434782,+1 210-637-1700,https://www.walmart.com/store/1347-san-antonio-tx,06:00-23:00,way,774903529
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,5025 Northwest Loop 410,78229,29.490095921052635,-98.587667,+1 210-523-1091,https://www.walmart.com/store/1235-san-antonio-tx,24/7,way,276333640
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Converse,8135 Farm-to-Market Road 78,78109,29.49760175555556,-98.32493406296298,+1 210-666-6066,https://www.walmart.com/store/5144-converse-tx,24/7,way,359697001
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,6703 West Loop 1604 North,78254,29.501285563157897,-98.70451521052632,+1-210-688-3626,https://www.walmart.com/store/2864-san-antonio-tx,24/7,way,101482956
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,5626 Walzem Road,78218,29.507595710344837,-98.37517349310346,+1 210-507-0650,https://www.walmart.com/store/2769-san-antonio-tx,Mo-Su 05:00-24:00,way,304564428
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,8500 Jones Maltsberger Road,78216,29.514849100000003,-98.48182143333334,+1 210-377-1899,https://www.walmart.com/store/2404-san-antonio-tx,24/7,way,314947381
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Gonzales,1114 East Sarah Dewitt Drive,78629,29.516514182352942,-97.44903342941176,+1 830-672-7573,https://www.walmart.com/store/290-gonzales-tx,24/7,way,497448156
Walmart Neighborhood Market,Walmart Neighborhood Market,Neighborhood Market,1,Walmart,TX,San Antonio,9006 Guilbeau Road,78250,29.51809722222222,-98.66090577777776,+1 210-536-3160,https://www.walmart.com/store/2835-san-antonio-tx,Mo-Su 06:00-24:00,way,359929899
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,8030 Bandera Road,78250,29.518568676470583,-98.63338280588232,+1 210-520-6517,https://www.walmart.com/store/5146-san-antonio-tx,24/7,way,169051187
Walmart Neighborhood Market,Walmart Neighborhood Market,Neighborhood Market,1,Walmart,TX,San Antonio,9005 FM 1560,78254,29.525389411111107,-98.71952858888888,+1 210-507-0834,https://www.walmart.com/store/5490-san-antonio-tx,Mo-Su 06:00-24:00,way,502993916
Walmart Neighborhood Market,Walmart Neighborhood Market,Neighborhood Market,1,Walmart,TX,Converse,10781 Toepperwein Road,78109,29.53604043333333,-98.3336336,+1 210-672-6813,https://www.walmart.com/store/4056/converse-tx,Mo-Su 06:00-24:00,way,674868087
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Universal City,510 Kitty Hawk Road,78148,29.54733504482759,-98.30844768965515,+1 210-536-8548,https://www.walmart.com/store/4055-universal-city-tx,Mo-Su 06:00-24:00,way,543127610
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,4331 Thousand Oaks Drive,78217,29.553519352,-98.407072204,+1 210-591-4977,https://www.walmart.com/store/1803-san-antonio-tx,Mo-Su 06:00-24:00,way,359509999
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,12639 Blanco Road,78231,29.555807691304352,-98.51854060869567,+1 210-591-6282,https://www.walmart.com/store/4162-san-antonio-tx,Mo-Su 06:00-24:00,way,355687651
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Helotes,12550 Leslie Road,78023,29.559277372413785,-98.6784667,+1-210-507-4979,https://www.walmart.com/store/3057-helotes-tx,24/7,way,355379112
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,5555 De Zavala Road,78249,29.564748800000007,-98.5960872242424,+1 210-558-2007,https://www.walmart.com/store/2599-san-antonio-tx,24/7,way,159212903
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Seguin,550 South Highway 123 Bypass,78155,29.56535382000001,-97.94477476,+1 830-372-5993,https://www.walmart.com/store/901-seguin-tx,24/7,way,184995785
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Cibolo,602 Cibolo Valley Drive,78108,29.57377701904762,-98.23619344285711,+1 210-659-9188,https://www.walmart.com/store/4115-cibolo-tx,Mo-Su 06:00-24:00,way,571405585
Walmart Neighborhood Market,Walmart Neighborhood Market,Neighborhood Market,1,Walmart,TX,San Antonio,4226 De Zavala Road,78249,29.57443721,-98.56565382999996,+1 210-774-2734,https://www.walmart.com/store/5224-san-antonio-tx,Mo-Su 06:00-24:00,way,330317161
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,16503 Nacogdoches Road,78247,29.591614784848485,-98.35567397878788,+1 210-646-6077,https://www.walmart.com/store/765-san-antonio-tx,24/7,way,359906485
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Schertz,6102 Natural Bridge Caverns Road,78154,29.6041215,-98.27517628064516,+1 210-651-8217,https://www.walmart.com/store/3391-schertz-tx,24/7,way,288845638
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,1515 North Loop 1604 East,78232,29.612410692592597,-98.47030327407408,+1 210-491-0291,https://www.walmart.com/store/1198-san-antonio-tx,24/7,way,359929904
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Antonio,24403 Interstate 10 West,78257,29.668663873333337,-98.63548727333334,+1 210-507-0041,https://www.walmart.com/store/3107-san-antonio-tx,Mo-Su 06:00-24:00,way,408608861
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,New Braunfels,1209 Interstate 35 South,78130,29.683892292592585,-98.12794841481484,+1 830-629-0129,https://www.walmart.com/store/865-new-braunfels-tx,24/7,way,368009228
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Boerne,1381 South Main Street,78006,29.778555951724137,-98.7243823862069,+1 830-249-6195,https://www.walmart.com/store/1126-boerne-tx,24/7,way,360827464
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Spring Branch,305 Singing Oaks,78070,29.801320600000004,-98.4222435117647,+1 830-438-4380,https://www.walmart.com/store/3056-spring-branch-tx,Mo-Su 06:00-24:00,way,547391549
Walmart,Walmart,General Store,1,,,,,,29.80254372,-98.41999098,,,,way,547391552
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Lockhart,1904 South Colorado Street,78644,29.856795138888888,-97.66569407222222,+1 512-398-2333,https://www.walmart.com/store/292-lockhart-tx,24/7,way,1102155987
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Marcos,1015 State Highway 80,78666,29.883199280000003,-97.91208960499998,+1 512-353-0617,https://www.walmart.com/store/404-san-marcos-tx,24/7,way,293079449
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,,,,,29.9008609,-96.9061142,+1 979-968-3423,https://www.walmart.com/store/846-la-grange-tx,,node,12243557904
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Kyle,5754 Kyle Parkway,78640,30.01019281764705,-97.85958169411764,+1 512-268-1451,https://www.walmart.com/store/4130-kyle-tx,24/7,way,457968084
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Kerrville,1216 Junction Highway,78028,30.06259702,-99.16707156,+1 830-895-7900,https://www.walmart.com/store/508-kerrville-tx,24/7,way,178409778
Market,Market; Walmart Vision Center; General Merchandise / Pharmacy,General Store; Pharmacy; Vision Center,3,,,,,,30.0860851,-97.8243926,,,,node,2983970683
Walmart Supercenter,Automotive; Walmart Supercenter; Walmart Tire and Lube; Garden,Auto Care; General Store; Supercenter,4,Walmart,TX,Buda,690 Old San Antonio Road,78610,30.08685617058824,-97.8250592117647,+1 512-295-1670,https://www.walmart.com/store/4219-buda-tx,24/7,way,237847687
Walmart Supercenter,Walmart Supercenter; Market; Home & Pharmacy,General Store; Pharmacy; Supercenter,3,Walmart,TX,Bastrop,488 State Highway 71 West,78602,30.103668616129035,-97.33276503225808,+1 512-321-2288,https://www.walmart.com/store/1042-bastrop-tx,06:00-23:00,way,750115239
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Austin,9300 South Interstate 35,78748,30.165406717391303,-97.79049493913044,+1 512-292-6973,https://www.walmart.com/store/5317-austin-tx,24/7,way,31695438
Walmart,Walmart,General Store,1,Walmart,TX,Giddings,2374 East Austin Street,78942,30.177771284615385,-96.91575991538464,+1 979-542-1375,https://www.walmart.com/store/473-giddings-tx,Mo-Su 07:00-24:00,way,620202494
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Austin,710 East Ben White Boulevard,78704,30.22132652380952,-97.75407067142858,+1 512-443-6601,https://www.walmart.com/store/1253-austin-tx,06:00-23:00,way,188590079
Delivery,Delivery,General Store,1,,,,,,30.2318853,-97.8223879,,,,node,9238953286
Walmart Supercenter,Walmart Supercenter; Pharmacy Entrance; Lawn and Garden,General Store; Pharmacy; Supercenter,3,Walmart,TX,Austin,5017 West US Highway 290 Service Road,78735,30.232381054166662,-97.82329197916664,+1 512-892-6086,https://www.walmart.com/store/2133-austin-tx,24/7,way,175672482
Auto Service,Auto Service,Auto Care,1,,,,,,30.2324437,-97.8243642,,,,node,9217416644
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Fredericksburg,1435 East Main Street,78624,30.25505555882353,-98.85222941764704,+1 830-997-2633,https://www.walmart.com/store/1154-fredericksburg-tx,24/7,way,271810750
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Austin,1030 Norwood Park Boulevard,78753,30.339199602777786,-97.68982256111109,+1 512-339-6060,https://www.walmart.com/store/1185-austin-tx,Mo-Su 06:00-23:00,way,384396405
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Manor,11923 US Highway 290 East,78653,30.347667542857145,-97.54415441904762,+1 512-651-9100,https://www.walmart.com/store/3169-manor-tx,06:00-23:00,way,573778741
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Elgin,1320 West US Highway 290,78621,30.349557431578948,-97.39031876842104,+1 512-285-3397,https://www.walmart.com/store/3170-elgin-tx,06:00-23:00,way,325737491
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Austin,2525 West Anderson Lane,78757,30.35579229411765,-97.73503510588236,+1 512-354-3702,https://www.walmart.com/store/4554-austin-tx,Mo-Su 05:00-01:00,way,381786872
Walmart Garden Center,Walmart Garden Center; Walmart Supercenter,General Store; Supercenter,2,Walmart,,,12900 North Interstate Highway 35 Service Road,,30.4127572,-97.6761612,+1-512-837-9886,https://www.walmart.com/store/3569-austin-tx,06:00-23:00,node,8282165281
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Pflugerville,1548 FM 685,78660,30.453665636,-97.606813112,+1 512-252-0112,https://www.walmart.com/store/5479-pflugerville-tx,24/7,way,380297708
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Austin,13201 North Ranch Road 620,78717,30.46726049615385,-97.78908444615384,+1 512-331-9924,https://www.walmart.com/store/1129-austin-tx,24/7,way,29177969
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Round Rock,2701 South Interstate 35,78664,30.483223075,-97.67021151666664,+1 512-310-9024,https://www.walmart.com/store/475-round-rock-tx,24/7,way,134166853
Walmart Garden Center,Walmart Garden Center; Walmart Supercenter,General Store; Supercenter,2,Walmart,TX,Cedar Park,201 Walton Way,78613,30.5219898,-97.8339757,+1-512-528-8746,https://www.walmart.com/store/2991-cedar-park-tx,24/7,node,9215025879
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Round Rock,4700 East Palm Valley Boulevard,78665,30.53365570555555,-97.61150915,+1 512-218-1018,https://www.walmart.com/store/5480-round-rock-tx,24/7,way,333653916
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Cedar Park,2801 East Whitestone Boulevard,78613,30.535471403448277,-97.78699360344824,+1 512-690-9340,https://www.walmart.com/store/4163-cedar-park-tx,24/7,way,895989016
Walmart,Walmart,General Store,1,Walmart,TX,Caldwell,475 State Highway 36 North,77836,30.53911087272727,-96.7001850909091,+1 979-567-9807,https://www.walmart.com/store/567-caldwell-tx,Mo-Su 06:00-23:00,way,875181679
Walmart Supercenter,Walmart Supercenter; Walmart Garden Center,General Store; Supercenter,2,Walmart,TX,Taylor,3701 North Main Street,76574,30.59885133333334,-97.41845463749998,+1 512-352-5505,https://www.walmart.com/store/77-taylor-tx,24/7,way,220947860
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Marble Falls,2700 North US Highway 281,78654,30.599270144444443,-98.27188388888888,+1 830-693-4461,https://www.walmart.com/store/781-marble-falls-tx,24/7,way,74457755
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Rockdale,709 West Us Highway 79,76567,30.6422826,-97.0323098,+1 512-446-5851,https://www.walmart.com/store/280-rockdale-tx,24/7,way,753416364
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Georgetown,620 South Interstate Highway 35 Frontage Road,78628,30.64508066785714,-97.69225330714286,+1 512-863-4855,https://www.walmart.com/store/1303-georgetown-tx,06:00-23:00,way,45467350
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Fort Stockton,2610 West Dickinson Boulevard,79735,30.896420266666663,-102.90727284285714,+1 432-336-3389,https://www.walmart.com/store/897-fort-stockton-tx,24/7,way,901685818
Walmart Neighborhood Market,Walmart Neighborhood Market,Neighborhood Market,1,Walmart,TX,Harker Heights,960 East Fm 2410,76548,31.055333311111117,-97.65604804444446,+1 254-892-6990,https://www.walmart.com/store/6459/harker-heights-tx,Mo-Su 06:00-24:00,way,952252589
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Lampasas,1710 Central Texas Expressway,76550,31.06181738,-98.15877678,+1 512-556-8217,https://www.walmart.com/store/1073-lampasas-tx,Mo-Su 06:00-23:00,way,680818379
Walmart Supercenter,Walmart Supercenter; Walmart Garden Center,General Store; Supercenter,2,Walmart,TX,Temple,3401 South 31st Street,76502,31.06636217692308,-97.36703036153844,+1 254-778-9235,https://www.walmart.com/store/746-temple-tx,06:00-23:00,way,72649036
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Harker Heights,2020 Heights Drive,76548,31.070124732000004,-97.67424009200002,+1 254-699-1021,https://www.walmart.com/store/3319-harker-heights-tx,24/7,way,148132256
Walmart Neighborhood Market,Walmart Neighborhood Market,Neighborhood Market,1,Walmart,TX,Killeen,3801 East Stan Schlueter Loop,76542,31.07232587692308,-97.7112430153846,+1 254-669-6134,https://www.walmart.com/store/3449-killeen-tx,Mo-Su 06:00-23:00,way,1012208733
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Belton,2604 North Main Street,76513,31.082032956756763,-97.46054355675676,+1 254-939-0962,https://www.walmart.com/store/1232-belton-tx,06:00-23:00,way,262625930
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Killeen,3404 West Stan Schlueter Loop,76549,31.08333306296297,-97.78757425185186,+1 254-669-6168,https://www.walmart.com/store/6286-killeen-tx,06:00-23:00,way,848544794
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Killeen,1400 Lowes Boulevard,76542,31.0897206060606,-97.7295262121212,+1 254-526-4102,https://www.walmart.com/store/407-killeen-tx,24/7,way,750489200
Walmart,Walmart,General Store,1,Walmart,,,,,31.0911495,-97.729598,,https://www.walmart.com/store/3816-killeen-tx,,node,12243486911
Walmart Neighborhood Market,Walmart Neighborhood Market,Neighborhood Market,1,Walmart,TX,Killeen,2900 South Clear Creek Road,76549,31.107111611111115,-97.79979504444442,+1 254-669-6809,https://www.walmart.com/store/3450-killeen-tx,06:00-23:00,way,976161061
Walmart,Walmart,General Store,1,,,,,,31.10748152,-97.80108522,,,,way,976161064
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Brady,2207 South Bridge Street,76825,31.109671314285716,-99.3307942142857,+1 325-597-3406,https://www.walmart.com/store/917-brady-tx,24/7,way,503879770
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Temple,6801 West Adams Avenue,76502,31.114691346666667,-97.41520718,+1 254-598-7593,https://www.walmart.com/store/6929-temple-tx,06:00-23:00,way,643832949
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Copperas Cove,2720 East Highway 190,76522,31.118085671428577,-97.87056245714284,+1 254-542-7600,https://www.walmart.com/store/381-copperas-cove-tx,24/7,way,225263774
Walmart,Walmart,General Store,1,Walmart,TX,Marlin,600 South State Highway 6,76661,31.3044233,-96.8768328,+1 254-883-5556,https://www.walmart.com/store/320-marlin-tx,Mo-Su 06:00-23:00,node,5315598879
Walmart,Walmart,General Store,1,Walmart,TX,Pecos,1903 South Cedar Street,79772,31.4087985625,-103.4884464,+1 432-445-4231,https://www.walmart.com/store/898-pecos-tx,Mo-Su 06:00-24:00,way,294826003
Walmart Neighborhood Market,Walmart Neighborhood Market,Neighborhood Market,1,Walmart,TX,San Angelo,5154 Knickerbocker Road,76904,31.409026281818186,-100.4784862090909,+1 325-276-6621,https://www.walmart.com/store/7311-san-angelo-tx,06:00-23:00,way,862181733
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Gatesville,2805 Highway 36,76528,31.425089578125,-97.71300326249998,+1 254-865-8991,https://www.walmart.com/store/476-gatesville-tx,06:00-23:00,way,267024495
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Angelo,5501 Sherwood Way,76904,31.42635965517241,-100.50962558620688,+1 325-949-9201,https://www.walmart.com/store/601-san-angelo-tx,24/7,way,37221312
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Angelo,3440 South Bryant Boulevard,76903,31.427170332000006,-100.43855685199998,+1 325-276-6599,https://www.walmart.com/store/7281-san-angelo-tx,24/7,way,481140507
Walmart Neighborhood Market,Walmart Neighborhood Market,Neighborhood Market,1,Walmart,TX,San Angelo,1852 Sherwood Way,76901,31.454175963636363,-100.46144306363637,+1 325-276-6945,https://www.walmart.com/store/7220-san-angelo-tx,06:00-23:00,way,148512387
Walmart Garden Center,Walmart Supercenter; Walmart Garden Center,General Store; Supercenter,2,Walmart,,,,,31.4623214,-97.1729501,,,,node,10975268644
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,San Angelo,610 West 29th Street,76903,31.48776768125001,-100.460850925,+1 325-655-4949,https://www.walmart.com/store/1249-san-angelo-tx,24/7,way,762184441
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Waco,600 Hewitt Drive,76712,31.493250278787883,-97.21445802727273,+1 254-666-9021,https://www.walmart.com/store/5389-waco-tx,24/7,way,906293716
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Waco,4320 Franklin Avenue,76710,31.521374573913047,-97.16577155652172,+1 254-751-0464,https://www.walmart.com/store/939-waco-tx,24/7,way,188426179
Walmart Supercenter,Walmart Supercenter,Supercenter,1,Walmart,TX,Bellmead,1521 North Interstate 35,76705,31.599929005882352,-97.10594515882352,+1 254-867-8084,https://www.walmart.com/store/1254-bellmead-tx,24/7,way,133885020
Walmart,Walmart,General Store,1,Walmart,,,,,31.63359233333333,-106.39362848333332,,,,way,398267210
