name,brand,state,city,address,postcode,lat,lon,phone,website,opening_hours,type,id
Walmart Neighborhood Market,Walmart,OK,Oklahoma City,13503 South Santa Fe Avenue,73170,35.332783,-97.51295,+1 405-300-6419,https://www.walmart.com/store/5323-oklahoma-city-ok,Mo-Su 06:00-24:00,node,5315597619
Walmart Neighborhood Market,Walmart,TX,El Paso,3000 Saul Kleinfeld Drive,79936,31.783243,-106.282976,+1 915-849-7796,https://www.walmart.com/store/5108-el-paso-tx,Mo-Su 06:00-24:00,node,5315597801
Walmart Supercenter,Walmart,OK,Altus,2500 North Main Street,73521,34.664235,-99.331291,+1 580-482-8189,https://www.walmart.com/store/479-altus-ok,24/7,node,5315597944
Walmart Neighborhood Market,Walmart,TX,El Paso,8115 North Loop Drive,79907,31.728537,-106.345055,+1 915-629-0048,https://www.walmart.com/store/4415-el-paso-tx,Mo-Su 06:00-24:00,node,5315598044
Walmart Neighborhood Market,Walmart,OK,Yukon,1001 East Main Street,73099,35.5091166,-97.7256424,+1 405-577-0049,https://www.walmart.com/store/3637/yukon-ok,Mo-Su 06:00-24:00,node,5315598226
Walmart Neighborhood Market,Walmart,TX,Pantego,2610 West Pioneer Parkway,76013,32.708505,-97.150711,+1 817-303-4468,https://www.walmart.com/store/3594-pantego-tx,Mo-Su 06:00-24:00,node,5315598254
Walmart Neighborhood Market,Walmart,TX,Fort Worth,6756 West Vickery Boulevard,76116,32.703367,-97.428115,+1 817-732-2130,https://www.walmart.com/store/3419-fort-worth-tx,Mo-Su 06:00-24:00,node,5315598310
Walmart Neighborhood Market,Walmart,OK,Oklahoma City,2900 Southwest 134th Street,73170,35.3329,-97.5663,+1 405-300-6446,https://www.walmart.com/store/3327-oklahoma-city-ok,Mo-Su 06:00-24:00,node,5315598846
Walmart,Walmart,TX,Marlin,600 South State Highway 6,76661,31.3044233,-96.8768328,+1 254-883-5556,https://www.walmart.com/store/320-marlin-tx,Mo-Su 06:00-23:00,node,5315598879
Walmart Neighborhood Market,Walmart,OK,Lawton,3745 Southwest Lee Boulevard,73505,34.595819,-98.438776,+1 580-713-7702,https://www.walmart.com/store/2984/lawton-ok,Mo-Su 06:00-24:00,node,5315598954
Walmart Neighborhood Market,Walmart,OK,Warr Acres,6437 North Macarthur Boulevard,73132,35.538043,-97.62107,+1 405-495-1001,https://www.walmart.com/store/2875-warr-acres-ok,Mo-Su 06:00-24:00,node,5315598994
Walmart Neighborhood Market,Walmart,OK,Moore,640 Southeast 4th Street,73160,35.3331,-97.478135,+1 405-794-2724,https://www.walmart.com/store/2393-moore-ok,Mo-Su 06:00-24:00,node,5315599535
Walmart Supercenter,Walmart,OK,Ada,1419 North Country Club Road,74820,34.789127,-96.65614,+1 580-332-2232,https://www.walmart.com/store/231-ada-ok,24/7,node,5315599559
Walmart Supercenter,Walmart,OK,Yukon,1200 Garth Brooks Boulevard,73099,35.4903985,-97.7636666,+1 405-350-1900,https://www.walmart.com/store/221-yukon-ok,24/7,node,5315599592
Walmart Supercenter,Walmart,OK,Chickasha,2001 South 1st Street,73018,35.031027,-97.931081,+1 405-224-1867,https://www.walmart.com/store/113-chickasha-ok,24/7,node,5315602257
Walmart,Walmart,TX,Carrizo Springs,2214 North 1st Street,78834,28.542786,-99.848551,+1 830-876-2462,https://www.walmart.com/store/1046-carrizo-springs-tx,Mo-Su 06:00-23:00,node,5315602299
Walmart Supercenter,Walmart,OK,Pauls Valley,2008 West Grant Avenue,73075,34.736602,-97.248862,+1 405-238-7353,https://www.walmart.com/store/1043-pauls-valley-ok,Mo-Su 06:00-01:00,node,5315602300
Walmart Supercenter,Walmart,,,,,28.727439,-106.1299106,,,Mo-Su 08:00-22:00,node,5459156521
Walmart Vision Center,,SD,Vermillion,1207 Princeton Avenue,57069,42.7917609,-96.9367936,,,Mo-Fr 09:00-20:00; Sa 09:00-18:00; Su 12:00-17:00,node,5638788987
Walmart Auto Care Center,,SD,Vermillion,1207 Princeton Avenue,57069,42.7922726,-96.935954,,,,node,5638788988
Walmart Photo Center,,SD,Vermillion,1207 Princeton Avuenue,57069,42.7919045,-96.9358883,,,Mo-Sa 08:30-22:00; Su 09:30-20:00,node,5638789634
Walmart Vision Center,,,,,,32.6840799,-96.8250103,,,,node,6412292772
Walmart Garden Center,Walmart,,,,,42.8175437,-106.374643,,,,node,6923859307
Walmart Garden Center,Walmart,,,,,34.5283461,-97.9698337,,,,node,6988124001
Walmart Tire & Lube,,,,,,39.5900715,-104.8608229,,,,node,7542816283
Walmart Garden Center,Walmart,,,,,39.5910108,-104.860801,,,,node,7542816807
Walmart Neighborhood Market,Walmart,KS,Wichita,3137 South Seneca Street,67217,37.6380625,-97.3542217,+1 316-361-3345,https://www.walmart.com/store/5991-wichita-ks,07:00-20:30,node,7769770882
Walmart Garden Center,Walmart,,,,,39.7619613,-104.7734758,,,,node,8098100511
Walmart Garden Center,Walmart,,,,,39.7689859,-104.8977184,,,,node,8098209256
Walmart Garden Center,Walmart,,,,,41.1635547,-104.79199,,,,node,8172495779
Walmart Garden Center,Walmart,,,12900 North Interstate Highway 35 Service Road,,30.4127572,-97.6761612,+1-512-837-9886,https://www.walmart.com/store/3569-austin-tx,06:00-23:00,node,8282165281
Walmart Deli,,,,,,39.8435555,-96.6053328,,,,node,8380833592
Walmart Garden Center,Walmart,,,,,32.8483458,-104.4270957,,,,node,8489842164
Walmart Garden Center,Walmart,,,,,32.4536821,-100.3926573,,,,node,8489842554
Walmart Garden Center,Walmart,,,,,33.0145236,-97.217377,,,,node,8989288327
Walmart Automotive Center,,,,,,39.761479,-104.773415,,,,node,9041975620
Walmart Garden Center,Walmart,,,,,37.998406,-103.592558,,https://www.walmart.com/store/1384-la-junta-co,,node,9078300881
Walmart Garden Center,Walmart,,,,,38.95058,-104.800264,,,,node,9149273980
Walmart Garden Center,Walmart,,,,,39.0670628,-104.8528194,,,,node,9149278777
Walmart Garden Center,Walmart,,,,,38.9419545,-104.7259588,,,,node,9149307316
Walmart Garden Center,Walmart,,,,,41.126628,-104.7641992,,https://www.walmart.com/store/4653-cheyenne-wy,,node,9166425841
Walmart Garden Center,Walmart,,,,,37.6485339,-97.3325791,,,,node,9170021591
Walmart Garden Center,Walmart,,,,,37.6748611,-97.4142511,,,,node,9170039387
Walmart Garden Center,Walmart,,,,,38.7846815,-97.6147962,,https://www.walmart.com/store/558-salina-ks,,node,9170195585
Walmart Garden Center,Walmart,,,,,39.6558281,-104.9940997,,https://www.walmart.com/store/2751-englewood-co,,node,9173720728
Walmart Garden Center,Walmart,,,,,31.0669589,-97.3671082,,https://www.walmart.com/store/746-temple-tx,,node,9177103913
Walmart Garden Center,Walmart,,,,,32.931531,-97.2672751,,https://www.walmart.com/store/2834-fort-worth-tx,,node,9177145406
Walmart Garden Center,Walmart,TX,San Antonio,1200 Southeast Military Drive,78214,29.3532975,-98.4804761,+1-210-921-0800,https://www.walmart.com/store/1313-san-antonio-tx,,node,9178788795
Walmart Garden Center,Walmart,,,,,32.8622438,-96.7548637,,,,node,9178791542
Walmart Garden Center,Walmart,TX,Vernon,3800 US Highway 287 West,76384,34.1629334,-99.310344,+1-940-552-8029,https://www.walmart.com/store/3229-vernon-tx,,node,9180824046
Walmart Garden Center,Walmart,OK,Norman,3651 Classen Boulevard,73071,35.1733746,-97.4089046,+1-405-515-7024,https://www.walmart.com/store/7294-norman-ok,,node,9181559484
Walmart Garden Center,Walmart,TX,Cedar Park,201 Walton Way,78613,30.5219898,-97.8339757,+1-512-528-8746,https://www.walmart.com/store/2991-cedar-park-tx,24/7,node,9215025879
Walmart Garden Center,Walmart,TX,Frisco,355 Stonebrook Parkway,75034,33.1424575,-96.8901202,+1-972-987-8764,https://www.walmart.com/store/2463-frisco-tx,Mo-Su 06:00-01:00,node,9251154723
Walmart Garden Center,Walmart,,,,,32.3944673,-104.2229232,,,,node,9254030548
Walmart Garden Center,Walmart,,,,,32.7321005,-96.6146264,,,,node,9365009560
Walmart Vision Center,Walmart Vision Center,,,,,38.9031253,-99.3207179,,,,node,9376134748
Walmart Garden Center,Walmart,,,,,32.6911672,-100.9176104,,,,node,9384114825
Walmart Garden Center,Walmart,TX,Burleson,951 Southwest Wilshire Boulevard,76028,32.5283626,-97.3374841,+1-817-572-9574,https://www.walmart.com/store/220/burleson-tx/whats-new,24/7,node,9411549538
Walmart Garden Center,Walmart,OK,Oklahoma City,100 East Interstate 240 Service Road,73149,35.3892357,-97.5116252,,https://www.walmart.com/store/743-oklahoma-city-ok,,node,9434071689
Walmart Garden Center,Walmart,OK,Moore,501 Southwest 19th Street,73160,35.3221426,-97.4921167,+1-405-790-0021,https://www.walmart.com/store/277-moore-ok,24/7,node,9434088962
Walmart Garden Center,Walmart,CO,Loveland,250 West 65th Street,80538,40.4574477,-105.0805568,,https://www.walmart.com/store/1008-loveland-co,24/7,node,9487434362
Walmart Garden Center,Walmart,OK,Lawton,6301 Northwest Quanhah Parker Trail Way,73505,34.6316937,-98.47188,+1-580-510-9130,https://www.walmart.com/store/5071-lawton-ok,24/7,node,9495843810
Walmart Garden Center,Walmart,CO,Loveland,1325 North Denver Avenue,80537,40.4046841,-105.0457594,+1-970-669-4579,https://www.walmart.com/store/953/loveland-co/whats-new,24/7,node,9537491272
Walmart Garden Center,Walmart,,,,,29.2343449,-99.7546154,,,,node,9776311407
Walmart Garden Center,Walmart,,,,,39.5133831,-104.7689401,,,,node,9831455666
Walmart Garden Center,Walmart,,,,,33.1790495,-96.8842524,,,,node,10268980373
Walmart Garden Center,Walmart,,,,,32.710997,-97.284179,,,,node,10271878355
Walmart Garden Center,Walmart,,,,,32.706345,-97.0212556,,,,node,10271927226
Walmart Auto Center,,,,,,32.906402,-97.1905817,,,,node,10746339552
Walmart Auto Care Centers,,,,,,32.9949157,-96.8587762,,,,node,10806569109
Walmart Grab & Go,Walmart,,,,,33.0551604,-96.7696359,,https://www.walmart.com/store/997-plano-tx,,node,10968126915
Walmart Garden Center,Walmart,,,,,31.4623214,-97.1729501,,,,node,10975268644
Walmart Auto Center,,,,,,32.9300302,-97.1019411,,,,node,11139452711
Walmart Garden Center,Walmart,TX,San Antonio,3302 Southeast Military Drive,78223,29.3485002,-98.4325381,+1-210-337-1946,,06:00-23:00,node,11189015310
Walmart Supercenter,Walmart,,,,,29.3193877,-100.9557818,,,,node,12095974916
Walmart Garden Center,Walmart,,,,,32.3406731,-97.4158447,,,,node,12124768979
Walmart Garden Center,Walmart,,,,,40.9436093,-98.3867483,,,,node,12154049660
Walmart,Walmart,,,,,32.6680279,-97.1334051,,https://www.walmart.com/store/2466-arlington-tx,,node,12241979666
Walmart,Walmart,,,,,31.0911495,-97.729598,,https://www.walmart.com/store/3816-killeen-tx,,node,12243486911
Walmart Supercenter,Walmart,,,,,29.9008609,-96.9061142,+1 979-968-3423,https://www.walmart.com/store/846-la-grange-tx,,node,12243557904
Walmart Auto Care Center,Walmart Auto Care Center,,,,,38.8230012,-104.8374843,,,,node,12335245535
Walmart Garden Center,Walmart,,,,,38.8229946,-104.8381016,,,,node,12335245536
Walmart Vision Center,Walmart Vision Center,,,,,38.8237093,-104.8383252,,,,node,12335245537
Walmart,,TX,Prosper,,,33.2200589,-96.7971737,,,,node,12389098720
Auto,,,,,,36.123676,-97.0481094,,,,node,2755428620
Food,,,,,,36.1249094,-97.0488621,,,,node,2755428623
Garden Center,,,,,,36.1236683,-97.0486622,,,,node,2755428626
Garden Center,,,,,,36.1237967,-97.0488416,,,,node,2755428629
main,,,,,,36.1244095,-97.0488645,,,,node,2755428631
Market,,,,,,30.0860851,-97.8243926,,,,node,2983970683
General Merchandise / Pharmacy,,,,,,30.0868316,-97.8244175,,,,node,2983970684
Garden,,,,,,30.0873422,-97.8244346,,,,node,2983970686
Automotive,,,,,,30.0873937,-97.8252681,,,,node,2983970687
Pharmacy Entrance,,,,,,30.2326882,-97.8232562,,,,node,9217416643
Auto Service,,,,,,30.2324437,-97.8243642,,,,node,9217416644
Lawn and Garden,,,,,,30.2329803,-97.8239245,,,,node,9238943743
Delivery,,,,,,30.2318853,-97.8223879,,,,node,9238953286
Auto Repair,,,,,,39.768873,-104.8971545,,,,node,9837280810
Home & Pharmacy,,,,,,30.1039652,-97.3325296,,,,node,11035602432
Market,,,,,,30.1037584,-97.3319655,,,,node,11035602433
Propane Tank Vending Machine,,,,,,37.5327723,-97.2427019,,,,node,12411806052
Walmart Supercenter,Walmart,TX,Westworth Village,6770 Westworth Boulevard,76114,32.755027125,-97.43390767000001,+1 817-570-9538,https://www.walmart.com/store/940-westworth-village-tx,24/7,way,28320343
Walmart Supercenter,Walmart,TX,Cedar Park,201 Walton Way,78613,30.522244817391307,-97.83440115652175,+1 512-528-8746,https://www.walmart.com/store/2991-cedar-park-tx,24/7,way,29169601
Walmart Supercenter,Walmart,TX,Austin,13201 North Ranch Road 620,78717,30.46726049615385,-97.78908444615384,+1 512-331-9924,https://www.walmart.com/store/1129-austin-tx,24/7,way,29177969
Walmart Supercenter,Walmart,TX,Dallas,1521 North Cockrell Hill Road,75211,32.76283299032258,-96.89693793548388,+1 214-330-7249,https://www.walmart.com/store/5147-dallas-tx,Mo-Su 06:00-24:00,way,29190522
Walmart Supercenter,Walmart,TX,Irving,1635 Market Place Boulevard,75063,32.92067060000001,-96.96760134499999,+1 214-574-4517,https://www.walmart.com/store/2649-irving-tx,24/7,way,30177356
Walmart Supercenter,Walmart,TX,Cedar Hill,621 Uptown Boulevard,75104,32.597266338095245,-96.9468566047619,+1 469-272-7344,https://www.walmart.com/store/3285-cedar-hill-tx,24/7,way,30817288
Walmart Supercenter,Walmart,TX,Austin,9300 South Interstate 35,78748,30.165406717391303,-97.79049493913045,+1 512-292-6973,https://www.walmart.com/store/5317-austin-tx,24/7,way,31695438
Walmart Supercenter,Walmart,TX,San Angelo,5501 Sherwood Way,76904,31.42635965517241,-100.50962558620687,+1 325-949-9201,https://www.walmart.com/store/601-san-angelo-tx,24/7,way,37221312
Walmart Supercenter,Walmart,CO,Denver,9400 East Hampden Avenue,80231,39.65197465806451,-104.8791244967742,+1 720-748-1000,https://www.walmart.com/store/3566/denver-co/,Mo-Su 06:00-24:00,way,39142797
Walmart Supercenter,Walmart,TX,Fort Worth,6300 Oakmont Boulevard,76132,32.66452290983606,-97.40571955737705,+1 817-263-4065,https://www.walmart.com/store/590-fort-worth-tx,24/7,way,40810665
Walmart Supercenter,Walmart,OK,Enid,5505 West Owen K Garriott Road,73703,36.38806294000002,-97.94532274857141,+1 580-237-7963,https://www.walmart.com/store/499-enid-ok,24/7,way,45158381
Walmart Supercenter,Walmart,TX,Georgetown,620 South Interstate Highway 35 Frontage Road,78628,30.64508066785714,-97.69225330714286,+1 512-863-4855,https://www.walmart.com/store/1303-georgetown-tx,06:00-23:00,way,45467350
Walmart Supercenter,Walmart,CO,Thornton,9901 Grant Street,80229,39.87590961052631,-104.98611894736845,+1 303-451-1003,https://www.walmart.com/store/1231-thornton-co,Mo-Su 06:00-24:00,way,45812366
Walmart Supercenter,Walmart,TX,Sherman,401 East Highway 82,75092,33.67371332380952,-96.61206084285716,+1 903-813-4825,https://www.walmart.com/store/947-sherman-tx,Mo-Su 06:00-22:00,way,47973083
Walmart Supercenter,Walmart,TX,Fort Worth,8520 North Beach Street,76244,32.895040187096775,-97.28694996451614,+1 817-514-9793,https://www.walmart.com/store/2980-fort-worth-tx,24/7,way,48974492
Walmart Supercenter,Walmart,TX,Arlington,4801 South Cooper Street,76017,32.668508366666664,-97.13203852857143,+1 817-465-1000,https://www.walmart.com/store/1801-arlington-tx,Mo-Su 06:00-23:00,way,49707398
Walmart Supercenter,Walmart,CO,Littleton,7700 West Quincy Avenue,80123,39.63642752105263,-105.08340593157895,+1 303-971-0321,https://www.walmart.com/store/1308-littleton-co,Mo-Su 06:00-23:00,way,49953829
Walmart Supercenter,Walmart,CO,Englewood,601 Englewood Parkway,80110,39.65613957222223,-104.99502348888889,+1 303-789-7201,https://www.walmart.com/store/2751-englewood-co,Mo-Su 06:00-24:00,way,50290783
Walmart Supercenter,Walmart,KS,Wichita,6110 West Kellogg Drive,67209,37.67525338888888,-97.41352210000001,+1 316-945-2800,https://www.walmart.com/store/1221-wichita-ks,24/7,way,51573235
Walmart Supercenter,Walmart,CO,Loveland,1325 North Denver Avenue,80537,40.40453678387097,-105.0464075,+1 970-669-4579,https://www.walmart.com/store/953-loveland-co,24/7,way,57844353
Walmart Supercenter,Walmart,TX,Irving,4100 West Airport Freeway,75062,32.83497313684209,-97.00653127105262,+1 972-313-0707,https://www.walmart.com/store/880-irving-tx,Mo-Su 06:00-24:00,way,61602018
Walmart Supercenter,Walmart,NM,Ruidoso Downs,26180 US Highway 70,88346,33.3243416625,-105.61418755416669,+1 575-378-8050,https://www.walmart.com/store/851-ruidoso-downs-nm,06:00-23:00,way,61942645
Walmart Supercenter,Walmart,CO,Denver,2770 West Evans Avenue,80219,39.6774663125,-105.02156038333334,+1 303-222-7043,https://www.walmart.com/store/5676-denver-co,Mo-Su 06:00-24:00,way,66208761
Walmart Supercenter,Walmart,TX,Temple,3401 South 31st Street,76502,31.06636217692308,-97.36703036153845,+1 254-778-9235,https://www.walmart.com/store/746-temple-tx,06:00-23:00,way,72649036
Walmart Supercenter,Walmart,TX,Fort Worth,8500 Anderson Boulevard,76120,32.764471863333334,-97.16892515666669,+1 817-276-9021,https://www.walmart.com/store/1455-fort-worth-tx,Mo-Su 06:00-23:00,way,73208074
Walmart Supercenter,Walmart,TX,Dallas,9382 Lyndon B Johnson Freeway,75243,32.91066926857142,-96.7388255285714,+1 972-437-9146,https://www.walmart.com/store/2427-dallas-tx,24/7,way,73228271
Walmart Supercenter,Walmart,TX,Marble Falls,2700 North US Highway 281,78654,30.599270144444443,-98.27188388888888,+1 830-693-4461,https://www.walmart.com/store/781-marble-falls-tx,24/7,way,74457755
Walmart Supercenter,Walmart,KS,Wichita,10600 West 21st Street North,67205,37.72462497027027,-97.4656777972973,+1 316-729-5446,https://www.walmart.com/store/3283-wichita-ks,24/7,way,75041273
Walmart Supercenter,Walmart,NE,Kearney,5411 North 2nd Avenue,68847,40.726509173333326,-99.08092454000001,+1-308-234-8448,https://www.walmart.com/store/598-kearney-ne,24/7,way,77722209
Walmart Supercenter,Walmart,CO,Littleton,13420 West Coal Mine Avenue,80127,39.60810288750001,-105.15070135312502,+1 303-979-2064,https://www.walmart.com/store/5049-littleton-co,Mo-Su 05:00-24:00,way,81133307
Walmart Supercenter,Walmart,KS,Hays,4301 North Vine Street,67601,38.90297652916666,-99.32105265833333,+1 785-625-0001,https://www.walmart.com/store/664-hays-ks,24/7,way,87105161
Walmart Supercenter,Walmart,CO,Woodland Park,19600 US 24,80863,38.970715370833325,-105.03876194583334,+1 719-687-1065,https://www.walmart.com/store/3805-woodland-park-co,24/7,way,87289904
Walmart Supercenter,Walmart,KS,Colby,115 West Willow Avenue,67701,39.367299471428574,-101.04775637142858,+1 785-462-8634,https://www.walmart.com/store/1214-colby-ks,24/7,way,87917621
Walmart Supercenter,Walmart,KS,Marysville,1174 Pony Expressway Highway,66508,39.84344873333334,-96.60494793333334,+1 785-562-2390,https://www.walmart.com/store/341-marysville-ks,24/7,way,95105555
Walmart Supercenter,Walmart,TX,Arlington,915 East Randol Mill Road,76011,32.75099815333333,-97.09543394,+1 817-274-1040,https://www.walmart.com/store/5416-arlington-tx,24/7,way,96988472
Walmart Supercenter,Walmart,CO,Lafayette,745 North Highway 287,80026,40.00620224878049,-105.10516909512195,+1 303-666-0340,https://www.walmart.com/store/1045-lafayette-co,24/7,way,97343747
Walmart Supercenter,Walmart,TX,San Antonio,6703 West Loop 1604 North,78254,29.501285563157897,-98.70451521052631,+1-210-688-3626,https://www.walmart.com/store/2864-san-antonio-tx,24/7,way,101482956
Walmart Supercenter,Walmart,CO,Colorado Springs,5550 East Woodmen Road,80920,38.94251155555556,-104.72561986666669,+1-719-531-6471,https://www.walmart.com/store/5123-colorado-springs-co,24/7,way,109476491
Walmart Supercenter,Walmart,CO,Aurora,6101 South Aurora Parkway,80016,39.60623671960785,-104.70483384215682,+1 303-617-1261,https://www.walmart.com/store/5137-aurora-co,24/7,way,111873249
Walmart Supercenter,Walmart,CO,La Junta,6 Conley Road,81050,37.99831808055555,-103.59320722499996,+1 719-384-5951,https://www.walmart.com/store/1384-la-junta-co,24/7,way,112118650
Walmart Supercenter,Walmart,CO,Broomfield,500 Summit Boulevard,80021,39.92606828571428,-105.13651985714287,+1 303-466-3928,https://www.walmart.com/store/5341-broomfield-co,Mo-Su 06:00-23:00,way,115984386
Walmart Supercenter,Walmart,NE,Scottsbluff,3322 Avenue I,69361,41.87988564482759,-103.67855603448275,+1 308-632-2666,https://www.walmart.com/store/867-scottsbluff-ne,24/7,way,117162734
Walmart Supercenter,Walmart,CO,Lakewood,440 South Wadsworth Boulevard,80226,39.72214108749999,-105.08037278124999,+1 303-205-0754,https://www.walmart.com/store/4284-lakewood-co,Mo-Su 06:00-24:00,way,119765384
Walmart Supercenter,Walmart,TX,Stephenville,2765 West Washington Street,76401,32.20709716071429,-98.23785156785713,+1 254-965-7766,https://www.walmart.com/store/610-stephenville-tx,24/7,way,120007801
Walmart Supercenter,Walmart,TX,Denton,1515 South Loop 288,76205,33.191335233333334,-97.09368697272727,+1 940-484-1717,https://www.walmart.com/store/467-denton-tx,24/7,way,120314540
Walmart Supercenter,Walmart,KS,Wichita,11411 East Kellogg Drive,67207,37.67656885757576,-97.2042414939394,+1 316-683-0735,https://www.walmart.com/store/3492-wichita-ks,24/7,way,120756226
Walmart Supercenter,Walmart,CO,Salida,7865 US 50,81201,38.5245299,-106.02265982222222,+1 719-539-3566,https://www.walmart.com/store/921-salida-co,Mo-Su 06:00-24:00,way,121130100
Walmart Supercenter,Walmart,KS,McPherson,205 South Centennial Drive,67460,38.36774661818182,-97.62834326363637,+1 620-241-0800,https://www.walmart.com/store/993-mcpherson-ks,24/7,way,126172023
Walmart Supercenter,Walmart,NM,Alamogordo,233 South New York Avenue,88310,32.887306943478265,-105.95798872173913,+1 575-434-5870,https://www.walmart.com/store/1306-alamogordo-nm,24/7,way,127122749
Walmart Supercenter,Walmart,WY,Laramie,4308 East Grand Avenue,82070,41.30184725384615,-105.54018131538461,+1 307-745-6100,https://www.walmart.com/store/1412-laramie-wy,24/7,way,129803651
Walmart Supercenter,Walmart,CO,Trinidad,2921 Toupal Drive,81082,37.13882193199999,-104.52313863599998,+1-719-846-4477,https://www.walmart.com/store/962-trinidad-co,Mo-Su 06:00-24:00,way,130665363
Walmart Supercenter,Walmart,CO,Fort Collins,1250 East Magnolia Street,80524,40.58635448999999,-105.05487863333333,+1 970-493-3048,https://www.walmart.com/store/2729-fort-collins-co,24/7,way,130730380
